"kol","lnk","gosp","gosc","frek","nFrek"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,lechia-gdansk,1650268.html","LEGIA WARSZAWA S.A.","LECHIA GDAÑSK","Mecz ogl¹da³o 18574 osób","18574"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,pogon-szczecin,1650264.html","CRACOVIA SSA KRAKÓW","POGOÑ SZCZECIN","Mecz ogl¹da³o 5769 osób","5769"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,gks-piast-gliwice-s-a,1650273.html","ZAG£ÊBIE LUBIN","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 6021 osób","6021"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,korona-sa-kielce,1650272.html","GÓRNIK ZABRZE SSA","KORONA SA KIELCE","Mecz ogl¹da³o 22708 osób","22708"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,cracovia-ssa-krakow,1650276.html","SANDECJA NOWY S¥CZ","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 2953 osób","2953"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,bruk-bet-termalica-nieciecza,1650275.html","POGOÑ SZCZECIN","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 3146 osób","3146"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,kks-lech-poznan,1650274.html","LECHIA GDAÑSK","KKS LECH POZNAÑ","Mecz ogl¹da³o 13493 osób","13493"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,jagiellonia-bialystok-ssa,1650271.html","ARKA GDYNIA SSA","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 11097 osób","11097"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,legia-warszawa-s-a,1650277.html","WIS£A KRAKÓW SA","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 33000 osób","33000"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,slask-wroclaw,1650278.html","WIS£A P£OCK S.A.","ŒL¥SK WROC£AW","Mecz ogl¹da³o 3613 osób","3613"
